User_Id,Race,Flavors,Positive,Negative,Medical
0,"sativa, hybrid","Chestnut, Lavender, Tropical, Berry, Butter, Fruit, Coffee, Plum",,"Dry Mouth, Paranoid, Dizzy","Insomnia, Headaches, Cramps, Seizures, Headache"
1,"indica, sativa","Strawberry, Pungent, Orange, Lime, Lemon, Lavender, Butter, Grapefruit, Mango, Honey, Blue Cheese, Tropical, Apple, Tree, Spicy/Herbal, Flowery, Tobacco","Focused, Tingly, Uplifted, Euphoric, Giggly, Sleepy",Anxious,Lack of Appetite
2,sativa,"Tropical, Grapefruit, Lemon, Minty, Apple, Tree, Mint","Talkative, Focused, Euphoric, Relaxed, Hungry",Dizzy,"Lack of Appetite, Inflammation, Cramps, Muscle Spasms, Headache, Insomnia"
3,indica,"Nutty, Lime, Plum, Berry, Vanilla, Coffee, Pepper, Grapefruit, Earthy, Lavender, Mango, Orange, Pineapple, Pear, Fruit","Uplifted, Hungry","Dry Mouth, Dry Eyes, Anxious, Paranoid",Nausea
4,hybrid,"Apple, Menthol, Spicy/Herbal, Cheese, Fruit, Butter","Uplifted, Energetic","Dry Eyes, Anxious, Paranoid","Headaches, Eye Pressure, Fatigue, Spasticity, Depression, Nausea, Insomnia, Inflammation"
5,hybrid,"Plum, Ammonia, Grape, Flowery, Mango, Pineapple, Blue Cheese, Minty, Tobacco, Tar, Tree, Rose, Lime, Berry, Pear, Apple",,"Anxious, Dry Mouth","Eye Pressure, Muscle Spasms, Seizures, Cramps"
6,"hybrid, indica","Menthol, Minty, Pineapple, Honey, Fruit, Strawberry, Chemical","Talkative, Hungry, Sleepy, Energetic, Uplifted, Euphoric, Creative, Tingly, Aroused","Dry Mouth, Anxious",Nausea
7,"hybrid, sativa","Coffee, Woody, Berry, Lavender, Rose, Sage, Sweet, Grapefruit, Honey, Lemon, Nutty, Menthol, Blueberry, Tree, Flowery, Orange, Diesel, Apple","Aroused, Tingly, Euphoric, Uplifted, Sleepy, Happy, Hungry, Giggly, Relaxed",Dry Mouth,"Depression, Lack of Appetite, Seizures"
8,,"Tree Fruit, Spicy/Herbal, Pepper, Chemical, Peach, Tobacco, Berry, Mint, Blue, Violet, Pear, Tree, Diesel, Pine, Sweet, Coffee, Honey, Butter, Sage, Orange, Vanilla, Ammonia","Creative, Focused, Tingly, Talkative","Anxious, Dry Mouth","Insomnia, Fatigue, Headaches, Pain, Nausea, Muscle Spasms, Spasticity"
9,sativa,"Ammonia, Tropical, Nutty, Sweet, Lavender, Pungent, Pepper, Blueberry, Coffee, Rose, Lemon, Orange, Violet, Apple, Lime, Skunk, Grape, Diesel, Tree, Pineapple, Cheese, Butter, Peach, Honey","Aroused, Uplifted, Giggly","Dizzy, Dry Eyes","Cramps, Fatigue, Muscle Spasms, Eye Pressure, Depression"
10,"sativa, indica","Chestnut, Menthol, Lavender, Chemical, Minty, Berry, Tropical, Tar, Grapefruit, Orange, Fruit, Rose, Ammonia, Blueberry, Nutty, Lemon",,"Paranoid, Dizzy","Seizures, Eye Pressure, Fatigue"
11,indica,"Mint, Nutty, Rose, Diesel, Citrus, Pine, Blue Cheese, Butter, Coffee, Pepper, Violet, Tea, Tropical, Blue, Pungent, Tar, Sage, Cheese, Tree, Plum, Fruit, Pineapple, Sweet","Relaxed, Talkative, Aroused","Dry Mouth, Paranoid","Fatigue, Cramps, Pain, Spasticity, Headache, Muscle Spasms, Nausea"
12,hybrid,"Mint, Violet, Coffee, Cheese","Creative, Giggly, Focused, Aroused, Sleepy, Tingly, Happy, Energetic","Dry Mouth, Paranoid, Anxious","Headaches, Insomnia, Lack of Appetite, Muscle Spasms, Seizures, Stress, Inflammation, Fatigue, Headache"
13,indica,"Lemon, Rose, Earthy, Mango, Chemical, Strawberry, Pear, Tropical, Pineapple, Citrus, Honey, Sage, Blue, Berry, Plum, Spicy/Herbal, Pungent, Pine, Apple, Menthol, Apricot, Tobacco, Minty, Pepper, Blue Cheese, Woody, Tree, Cheese, Sweet, Skunk, Tree Fruit, Fruit","Focused, Aroused","Paranoid, Dry Mouth, Anxious, Dry Eyes","Headache, Pain, Eye Pressure, Muscle Spasms, Depression, Lack of Appetite, Cramps, Seizures"
14,"indica, hybrid",,"Creative, Aroused, Focused, Hungry, Relaxed, Tingly, Talkative, Happy",Dry Eyes,"Depression, Eye Pressure, Muscle Spasms, Headaches, Lack of Appetite, Pain, Stress"
15,hybrid,"Orange, Flowery, Blue, Tea, Spicy/Herbal, Blue Cheese, Minty, Pear, Strawberry, Apple, Fruit, Tree, Tobacco, Rose, Sage, Diesel, Grapefruit, Sweet, Berry, Plum, Grape, Apricot, Lemon, Woody, Pine",,"Dizzy, Dry Mouth, Paranoid",
16,,"Lemon, Cheese, Blue, Sweet, Earthy","Uplifted, Talkative, Giggly, Creative, Hungry","Dry Eyes, Paranoid, Dry Mouth, Anxious","Headache, Eye Pressure, Cramps, Pain, Depression, Inflammation, Lack of Appetite"
17,indica,"Grape, Lemon, Pineapple, Nutty, Apple, Mint, Earthy, Flowery, Pear","Creative, Giggly, Happy, Talkative, Focused, Energetic, Euphoric","Paranoid, Dry Mouth, Anxious, Dizzy","Muscle Spasms, Nausea, Spasticity, Lack of Appetite, Headaches, Headache, Depression, Fatigue, Pain"
18,"hybrid, sativa","Earthy, Citrus, Strawberry, Orange, Butter, Pine, Pear, Fruit, Honey, Rose, Apricot, Lavender, Blueberry, Berry, Sage, Pungent, Diesel, Chestnut, Vanilla, Tree, Chemical, Peach, Flowery, Plum, Apple, Blue Cheese, Tree Fruit, Cheese, Spicy/Herbal, Woody","Focused, Happy, Relaxed","Dry Mouth, Paranoid","Inflammation, Fatigue, Nausea, Headache, Cramps"
19,"hybrid, indica","Blueberry, Coffee, Orange, Pineapple, Plum, Menthol, Lavender, Cheese, Berry, Tar, Butter, Spicy/Herbal, Diesel, Violet, Pine, Tea, Mango, Blue Cheese, Grape, Woody, Grapefruit, Pear, Skunk, Pungent, Tobacco, Peach","Hungry, Energetic, Uplifted, Euphoric, Giggly, Talkative, Focused","Dry Mouth, Paranoid, Dizzy, Anxious","Headaches, Stress, Eye Pressure, Muscle Spasms, Headache, Nausea, Spasticity, Lack of Appetite"
20,indica,"Pineapple, Skunk, Grape, Apple, Orange, Butter, Grapefruit, Citrus, Plum, Menthol, Lime, Tar, Minty, Pear, Lavender, Mint, Coffee, Vanilla, Woody, Fruit, Tobacco","Creative, Focused, Aroused",,"Spasticity, Muscle Spasms, Cramps, Headaches, Stress, Eye Pressure, Lack of Appetite, Nausea, Pain"
21,"sativa, indica","Butter, Sweet, Plum, Apple, Peach, Coffee, Mint, Tree, Tree Fruit, Minty, Sage, Berry, Tea, Chestnut, Lime, Apricot, Pungent, Flowery, Tar, Grape, Mango, Fruit, Cheese, Spicy/Herbal, Pine, Menthol, Nutty, Grapefruit","Relaxed, Euphoric, Creative, Tingly, Energetic, Giggly, Happy","Dry Eyes, Dizzy, Anxious, Dry Mouth","Lack of Appetite, Headaches, Seizures, Stress, Cramps, Pain, Eye Pressure, Muscle Spasms"
